职位名,链接,公司,工作地点,薪资,经验,学历
数据分析师 ,https://www.zhipin.com/job_detail/1413187676.html,和信信息服务有限公司,北京,7K-9K,1-3年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413329773.html,ofo,深圳,6K-8K,1年以内,大专
数据分析专员 ,https://www.zhipin.com/job_detail/1413176919.html,e融所,深圳,6K-7K,经验不限,本科
数据分析经理（风险分析方向） ,https://www.zhipin.com/job_detail/1413399025.html,同源数智,北京,20K-30K,5-10年,本科
数据分析师 - 风控方向 ,https://www.zhipin.com/job_detail/1413266510.html,美利金融,上海,10K-19K,1-3年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413289307.html,兰蒂娜,深圳,10K-15K,1年以内,大专
数据分析岗 ,https://www.zhipin.com/job_detail/1413350594.html,锦程消费金融,成都,8K-16K,经验不限,本科
商业数据分析 ,https://www.zhipin.com/job_detail/1413339464.html,第一摩码资产,北京,8K-15K,1-3年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413350530.html,元高分,重庆,9K-15K,1-3年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413144470.html,亿阳信通,武汉,4K-7K,1-3年,大专
数据分析专员/统计分析员 ,https://www.zhipin.com/job_detail/1413271805.html,VTZero,深圳,5K-9K,1年以内,大专
数据分析师 ,https://www.zhipin.com/job_detail/1413103345.html,中国平安,上海,5K-10K,经验不限,硕士
数据分析师 ,https://www.zhipin.com/job_detail/1413315315.html,东方视界-3D东东,北京,10K-15K,3-5年,本科
数据分析经理（风险分析方向） ,https://www.zhipin.com/job_detail/1413357274.html,同源数智,北京,20K-30K,1年以内,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413326779.html,欣网互联,上海,8K-12K,1-3年,大专
数据分析师 ,https://www.zhipin.com/job_detail/1413119656.html,美团外卖,宁波,9K-12K,3-5年,本科
客户体验数据分析师 ,https://www.zhipin.com/job_detail/1413150405.html,拍拍贷,上海,15K-25K,5-10年,硕士
数据分析师 ,https://www.zhipin.com/job_detail/1413271663.html,广州明动软件,广州,7K-14K,1-3年,本科
