,职位名,链接,公司,工作地点,薪资,经验,学历,工作地点(城市),薪资(统一月薪元)
1930,采购平台师（数据分析）,http://jobs.51job.com/shanghai-pdxq/89540901.html?s=01&t=0,天马微电子股份有限公司,上海-浦东新区,6-8千/月,,本科,上海,7000.0
1931,数据分析高级主任,http://jobs.51job.com/shanghai/88660811.html?s=01&t=0,香港新世界集团成员-K11 Concepts Limited,上海,1-1.5万/月,5-7年经验,本科,上海,12500.0
1932,数据分析专员,http://jobs.51job.com/chengdu-gxq/91154964.html?s=01&t=0,深圳惠享金融服务有限公司成都分公司,成都-高新区,4-6千/月,,大专,成都,5000.0
1933,财务数据分析师  FP&A,http://jobs.51job.com/shenzhen-lhxq/91987215.html?s=01&t=0,深圳英飞拓科技股份有限公司,深圳-龙华新区,1.5-2.5万/月,,,深圳,20000.0
1934,电商大数据分析专员,http://jobs.51job.com/shanghai/88496020.html?s=01&t=0,益海嘉里粮油（深圳）有限公司,上海,15-25万/年,,大专,上海,16667.0
1935,系统数据分析专员/助理+双休,http://jobs.51job.com/shenyang/89396941.html?s=01&t=0,中软卓越集团（上海）业务线,沈阳,3-5千/月,无工作经验,大专,沈阳,4000.0
1936,腾讯游戏数据分析师工程师/助理,http://jobs.51job.com/shenyang/88138908.html?s=01&t=0,中软卓越腾讯业务线,沈阳,3-5千/月,无工作经验,大专,沈阳,4000.0
1937,大数据分析师,http://jobs.51job.com/foshan/89363118.html?s=01&t=0,广东粤桂黔信息科技有限公司,佛山,1-1.5万/月,3-4年经验,本科,佛山,12500.0
1938,数据分析员,http://jobs.51job.com/shanghai-mhq/90365940.html?s=01&t=0,佳格投资（中国）有限公司,上海-闵行区,4.5-6千/月,2年经验,大专,上海,5250.0
1939,数据分析工程师,http://jobs.51job.com/zhongshan/86644666.html?s=01&t=0,广东省广播电视网络股份有限公司中山分公司,中山,6-8千/月,,,中山,7000.0
1940,数据分析（实习生）,http://jobs.51job.com/hangzhou-jgq/89784996.html?s=01&t=0,上海国际广告展览有限公司,杭州-江干区,120元/天,无工作经验,本科,杭州,2610.0
1941,销售数据分析,http://jobs.51job.com/dongguan-ncq/87938072.html?s=01&t=0,广东金添动漫股份有限公司,东莞-南城区,4-5.5千/月,1年经验,大专,东莞,4750.0
1942,数据分析专员,http://jobs.51job.com/shenzhen-lgq/91841122.html?s=01&t=0,深圳凯吉星农产品检测认证有限公司,深圳-龙岗区,4-6千/月,2年经验,本科,深圳,5000.0
1943,数据分析师,http://jobs.51job.com/shanghai-pdxq/92427458.html?s=01&t=0,上海数禾信息科技有限公司,上海-浦东新区,0.6-1.2万/月,,,上海,9000.0
1944,数据分析,http://jobs.51job.com/shanghai-fxq/87491007.html?s=01&t=0,上海睿昂生物技术有限公司,上海-奉贤区,4.5-6千/月,,,上海,5250.0
1945,健康数据分析,http://jobs.51job.com/wuhan-wcq/91095846.html?s=01&t=0,武汉优维康健康管理咨询有限公司,武汉-武昌区,6-8万/年,1年经验,大专,武汉,5833.0
1946,数据分析师,http://jobs.51job.com/guiyang/91337549.html?s=01&t=0,南京烽火星空通信发展有限公司,贵阳,0.6-1.2万/月,,本科,贵阳,9000.0
1947,数据分析工程师,http://jobs.51job.com/shenzhen-nsq/91105554.html?s=01&t=0,西安华炎信息科技有限公司,深圳-南山区,0.8-1万/月,2年经验,本科,深圳,9000.0
1948,数据分析实习生,http://jobs.51job.com/hefei-gxq/90511058.html?s=01&t=0,合肥圆融信息科技有限公司,合肥-高新区,4.5-6千/月,,本科,合肥,5250.0
1949,大数据分析高级工程师,http://jobs.51job.com/langfang/89715500.html?s=01&t=0,苏州高特人力资源服务有限公司,异地招聘,20-30万/年,,大专,异地招聘,20833.0
1950,数据分析员/助理,http://jobs.51job.com/guangzhou-byq/86182435.html?s=01&t=0,HIMuomo汉崇,广州-白云区,4-4.5千/月,1年经验,大专,广州,4250.0
1951,销售数据分析员,http://jobs.51job.com/wuhan/87268288.html?s=01&t=0,武汉美创卓越商贸有限公司,武汉,3-4千/月,,,武汉,3500.0
1952,数据分析专员,http://jobs.51job.com/chengdu-slx/81112248.html?s=01&t=0,成都市草根同创经济信息咨询有限公司,成都-双流县,3-4.5千/月,1年经验,大专,成都,3750.0
1953,市场数据分析员,http://jobs.51job.com/guizhousheng/90845859.html?s=01&t=0,贵州指趣网络科技有限公司,异地招聘,2.5-3.5千/月,,大专,异地招聘,3000.0
1954,数据分析专员,http://jobs.51job.com/guangzhou-pyq/90784561.html?s=01&t=0,汕头市菠萝彩网络科技有限公司,广州-番禺区,6-8千/月,,,广州,7000.0
1955,数据分析师,http://jobs.51job.com/guangzhou/87378805.html?s=01&t=0,中國印象主題國際集團有限公司,广州,5-7千/月,,,广州,6000.0
1956,行政助理 /销售数据分析助理,http://jobs.51job.com/nanjing-qhq/86084188.html?s=01&t=0,南京喜上喜工贸实业有限公司,南京-秦淮区,3-6千/月,,,南京,4500.0
1957,数据分析专员,http://jobs.51job.com/kunming/88954263.html?s=01&t=0,植物医生,昆明,3-4.5千/月,1年经验,,昆明,3750.0
1958,数据分析员（商品）,http://jobs.51job.com/chengdu-qyq/92274505.html?s=01&t=0,四川百世威体育用品有限公司,成都-青羊区,3.5-5千/月,3-4年经验,大专,成都,4250.0
1959,数据分析,http://jobs.51job.com/shenzhen-nsq/87212533.html?s=01&t=0,深圳市芒柠科技有限公司,深圳-南山区,0.8-1.5万/月,2年经验,大专,深圳,11500.0
1960,商品数据分析专员,http://jobs.51job.com/guangzhou/90488164.html?s=01&t=0,广州市笠云凫服饰有限公司,广州,6-8千/月,,,广州,7000.0
1961,电商数据分析,http://jobs.51job.com/changsha-txq/78742719.html?s=01&t=0,湖南射门王体育文化有限公司,长沙-天心区,4-6千/月,,,长沙,5000.0
1962,数据分析,http://jobs.51job.com/xian-xcq/72233865.html?s=01&t=0,ABC童装童鞋,西安-新城区,3-4.5千/月,无工作经验,大专,西安,3750.0
1963,阿里巴巴数据分析运营主管,http://jobs.51job.com/ningbo-yzq/79218244.html?s=01&t=0,宁波四象进出口有限公司,宁波-鄞州区,4.5-6千/月,1年经验,本科,宁波,5250.0
1964,数据分析师,http://jobs.51job.com/xian/88785163.html?s=01&t=0,西安华荣魏家餐饮管理有限公司,西安,3-4.5千/月,,本科,西安,3750.0
1965,数据分析师（IT）,http://jobs.51job.com/shenzhen-ftq/91235113.html?s=01&t=0,玛俪琳（中国）商贸有限公司,深圳-福田区,0.8-1.2万/月,,大专,深圳,10000.0
1966,数据分析师,http://jobs.51job.com/nanjing-yhtq/89195818.html?s=01&t=0,江苏领迅科技有限公司,南京-雨花台区,0.5-1万/月,,大专,南京,7500.0
1967,实习生-数据分析,http://jobs.51job.com/beijing/92316607.html?s=01&t=0,金风科技-风机单元-质控中心,北京,2-3千/月,,,北京,2500.0
1968,数据分析专员,http://jobs.51job.com/chongqing-ybq/92316441.html?s=01&t=0,重庆比速汽车销售有限公司,重庆-渝北区,4-6千/月,2年经验,本科,重庆,5000.0
1969,大数据分析师,http://jobs.51job.com/huangshi/92313771.html?s=01&t=0,劲牌有限公司,异地招聘,0.8-1万/月,,本科,异地招聘,9000.0
1970,高级数据分析师,http://jobs.51job.com/guangzhou/88558240.html?s=01&t=0,深圳市小草互联网金融服务有限公司,广州,1-5万/月,3-4年经验,,广州,30000.0
1971,数据分析,http://jobs.51job.com/nanjing/79071344.html?s=01&t=0,南京天谜时装有限公司,南京,4.5-5千/月,,,南京,4750.0
1972,数据分析专员,http://jobs.51job.com/guangzhou/78035211.html?s=01&t=0,广州摩达皮具实业有限公司,广州,3.5-5千/月,3-4年经验,高中,广州,4250.0
1973,数据分析软件开发工程师,http://jobs.51job.com/guangdongsheng/75914526.html?s=01&t=0,广州迈安信息科技有限公司,异地招聘,6-9千/月,,本科,异地招聘,7500.0
1974,数据分析,http://jobs.51job.com/hangzhou-yhq/88561593.html?s=01&t=0,浙江神汽电子商务有限公司,杭州-余杭区,0.8-1万/月,,本科,杭州,9000.0
1975,大数据分析师,http://jobs.51job.com/foshan/88645092.html?s=01&t=0,粤百年投资控股有限公司,佛山,0.4-1万/月,无工作经验,硕士,佛山,7000.0
1976,数据分析员,http://jobs.51job.com/zhenjiang/80876468.html?s=01&t=0,内蒙古伊利实业集团股份有限公司液态奶事业部,异地招聘,3-4.5千/月,,本科,异地招聘,3750.0
1977,大数据分析师,http://jobs.51job.com/luzhou/88252513.html?s=01&t=0,泸州市城投智慧科技发展有限责任公司,泸州,10-20万/年,2年经验,,泸州,12500.0
1978,数据分析师,http://jobs.51job.com/shenzhen-lgq/91277986.html?s=01&t=0,深圳市友琪便利店有限公司,深圳-龙岗区,4-6千/月,2年经验,大专,深圳,5000.0
1979,数据分析师,http://jobs.51job.com/dongguan-ncq/83438877.html?s=01&t=0,东莞市猎声电子科技有限公司,东莞-南城区,0.8-1万/月,3-4年经验,,东莞,9000.0
1980,数据分析专员,http://jobs.51job.com/shenyang-shq/91388770.html?s=01&t=0,沈阳长吉物流有限责任公司,沈阳-沈河区,3-5千/月,,,沈阳,4000.0
1981,数据分析主管兼助理,http://jobs.51job.com/hefei/91410922.html?s=01&t=0,安徽博奥体育用品有限公司,合肥,6-8千/月,,大专,合肥,7000.0
1982,数据分析员,http://jobs.51job.com/guangzhou-thq/88004155.html?s=01&t=0,广州康朝药业有限公司,广州-天河区,4.5-6千/月,2年经验,大专,广州,5250.0
1983,商品专员/AD/数据分析,http://jobs.51job.com/hangzhou-jgq/76741023.html?s=01&t=0,宁波唯昇品牌管理有限公司,杭州-江干区,3-5千/月,3-4年经验,大专,杭州,4000.0
1984,数据分析师,http://jobs.51job.com/shenzhen-nsq/90086565.html?s=01&t=0,赛恩倍吉科技顾问（深圳）有限公司,深圳-南山区,0.6-1.2万/月,3-4年经验,本科,深圳,9000.0
1985,数据分析员,http://jobs.51job.com/yiwu/84318097.html?s=01&t=0,浙江新光饰品股份有限公司,义乌,4.5-6千/月,3-4年经验,大专,义乌,5250.0
1986,电商数据分析师,http://jobs.51job.com/shanghai-cnq/85085248.html?s=01&t=0,长元（上海）信息科技有限公司,上海-长宁区,1-1.5万/月,2年经验,本科,上海,12500.0
1987,资深薪酬数据分析主管,http://jobs.51job.com/ningde/83021261.html?s=01&t=0,宁德新能源科技有限公司,异地招聘,10-28万/年,,,异地招聘,15833.0
1988,电商数据分析,http://jobs.51job.com/shanghai-hpq/90560193.html?s=01&t=0,西安开米股份有限公司,上海-黄浦区,6-8千/月,3-4年经验,,上海,7000.0
1989,能源数据分析,http://jobs.51job.com/luzhou/92314172.html?s=01&t=0,四川海泰后勤管理服务有限公司,泸州,4-6千/月,,,泸州,5000.0
1990,数据分析工程师,http://jobs.51job.com/xian-jjjs/92312574.html?s=01&t=0,华正云科（北京）信息技术有限公司,西安-经济技术...,3.5-5.5千/月,1年经验,本科,西安,4500.0
1991,数据分析岗（正式管理内勤，五险一金，双休）,http://jobs.51job.com/nantong/83260333.html?s=01&t=0,中国平安人寿保险股份有限公司南通中心支公司,南通,3.5-5千/月,,本科,南通,4250.0
1992,Data Quality Specialist (数据分析师， SQL),http://jobs.51job.com/hangzhou/89376001.html?s=01&t=0,美国道富,杭州,0.8-1万/月,2年经验,,杭州,9000.0
1993,数据分析师,http://jobs.51job.com/beijing/92358687.html?s=01&t=0,北京万创聚力科技有限公司,北京,2-2.5万/月,2年经验,本科,北京,22500.0
1994,高级数据分析经理,http://jobs.51job.com/shanghai-ptq/92357213.html?s=01&t=0,驴妈妈旅游网,上海-普陀区,1-1.5万/月,3-4年经验,本科,上海,12500.0
1995,数据分析,http://jobs.51job.com/hangzhou-jgq/92355497.html?s=01&t=0,杭州嗨购电子商务有限公司,杭州-江干区,6-8千/月,,大专,杭州,7000.0
1996,Data Analyst 数据分析师 (汽车行业）,http://jobs.51job.com/shanghai-pdxq/92352623.html?s=01&t=0,上海劢思可汽车技术服务有限公司,上海-浦东新区,1.2-1.8万/月,5-7年经验,本科,上海,15000.0
1997,数据分析师 BA 需求分析,http://jobs.51job.com/beijing/92350952.html?s=01&t=0,凯捷咨询（中国）有限公司,北京,0.8-1.3万/月,,,北京,10500.0
1998,数据分析师,http://jobs.51job.com/beijing-xwq/92348785.html?s=01&t=0,上海华钦信息科技股份有限公司,北京-宣武区,0.8-1万/月,,,北京,9000.0
1999,电商推广与数据分析专员,http://jobs.51job.com/shenzhen-nsq/92346247.html?s=01&t=0,深圳市爵邦体育用品有限公司,深圳-南山区,6-8千/月,,大专,深圳,7000.0
2000,运营数据分析师,http://jobs.51job.com/beijing-hdq/88324090.html?s=01&t=0,北京青牛风科技有限公司,北京-海淀区,6-8千/月,,本科,北京,7000.0
2001,数据分析员,http://jobs.51job.com/guangzhou-yxq/90310286.html?s=01&t=0,广州零点市场调查有限公司,广州-越秀区,3-4.5千/月,,,广州,3750.0
2002,数据分析师,http://jobs.51job.com/hefei/86424631.html?s=01&t=0,合肥东方英才人才有限公司,合肥,2.5-4千/月,1年经验,本科,合肥,3250.0
2003,数据分析员,http://jobs.51job.com/hangzhou-jgq/63120371.html?s=01&t=0,浙江大东鞋业有限公司,杭州-江干区,3-4.5千/月,无工作经验,大专,杭州,3750.0
2004,VIP会员专员/VIP会员主管/VIP数据分析员,http://jobs.51job.com/chengdu-chq/91013217.html?s=01&t=0,成都市泽南贸易有限公司,成都-成华区,4-6.5千/月,3-4年经验,大专,成都,5250.0
2005,数据分析师,http://jobs.51job.com/beijing-hdq/86242177.html?s=01&t=0,北京中电普华信息技术有限公司,北京-海淀区,0.7-1.2万/月,,,北京,9500.0
2006,数据分析专员,http://jobs.51job.com/nanjing-yhtq/89523842.html?s=01&t=0,苏州乐语冠芝霖通讯设备有限公司,南京-雨花台区,3-4.5千/月,1年经验,大专,南京,3750.0
2007,经营分析/数据分析/运营分析,http://jobs.51job.com/shenzhen/91658541.html?s=01&t=0,深圳市中装建设集团股份有限公司,深圳,0.5-1.2万/月,,,深圳,8500.0
2008,高级数据分析师,http://jobs.51job.com/shanghai-pdxq/90328476.html?s=01&t=0,上海享淘实业有限公司,上海-浦东新区,1-1.5万/月,5-7年经验,本科,上海,12500.0
2009,产品助理/数据分析助理,http://jobs.51job.com/beijing/92224141.html?s=01&t=0,北京博思致新互联网科技有限责任公司,北京,0.5-1万/月,1年经验,本科,北京,7500.0
2010,数据分析,http://jobs.51job.com/wuxi/84573453.html?s=01&t=0,无锡红豆居家服饰有限公司,无锡,6-8万/年,,硕士,无锡,5833.0
2011,数据分析专员（官网）,http://jobs.51job.com/shenzhen/83693236.html?s=01&t=0,深圳全棉时代科技有限公司,深圳,4.5-6千/月,2年经验,本科,深圳,5250.0
2012,数据分析专员,http://jobs.51job.com/shanghai-hpq/78438885.html?s=01&t=0,上海日丰实业有限公司,上海-黄浦区,5-7千/月,3-4年经验,大专,上海,6000.0
2013,大数据分析和建模工程师,http://jobs.51job.com/hangzhou-bjq/88349658.html?s=01&t=0,杭州迪普科技股份有限公司,杭州-滨江区,0.8-1.5万/月,1年经验,本科,杭州,11500.0
2014,数据分析/处理实习生,http://jobs.51job.com/shanghai-pdxq/86668637.html?s=01&t=0,广汇汽车服务股份公司,上海-浦东新区,2-3千/月,,本科,上海,2500.0
2015,高级数据分析师（互联网中心）,http://jobs.51job.com/foshan-ccq/89921908.html?s=01&t=0,广东东鹏控股股份有限公司,佛山-禅城区,1.5-2.5万/月,5-7年经验,本科,佛山,20000.0
2016,商品数据分析,http://jobs.51job.com/hangzhou/61009862.html?s=01&t=0,浙江佰丽源实业有限公司,杭州,5-7千/月,1年经验,大专,杭州,6000.0
2017,数据分析实习生,http://jobs.51job.com/hangzhou/91000411.html?s=01&t=0,杭州优哈箱包有限公司,杭州,2-3千/月,无工作经验,,杭州,2500.0
2018,初级数据分析员/分析师,http://jobs.51job.com/shenzhen-nsq/91776130.html?s=01&t=0,深圳市名图信息技术有限公司,深圳-南山区,4-8千/月,,大专,深圳,6000.0
2019,业务支持助理/数据分析助理,http://jobs.51job.com/qingdao-snq/79562079.html?s=01&t=0,鸿泰鼎石资产管理有限责任公司,青岛-市南区,1.5-2千/月,无工作经验,本科,青岛,1750.0
2020,数据分析师 (优梵艺术),http://jobs.51job.com/foshan/86314670.html?s=01&t=0,优梵艺术,异地招聘,0.4-1万/月,1年经验,大专,异地招聘,7000.0
2021,技术助理（偏数据分析管理）,http://jobs.51job.com/hangzhou/88339421.html?s=01&t=0,杭州金杭包装印业有限公司,杭州,3.5-5千/月,,,杭州,4250.0
2022,运营专员（统计数据分析岗）,http://jobs.51job.com/guangzhou-thq/79814883.html?s=01&t=0,广东凌云志集团,广州-天河区,3-4.5千/月,无工作经验,本科,广州,3750.0
2023,数据分析专员,http://jobs.51job.com/shanghai-ypq/92070243.html?s=01&t=0,21世纪不动产,上海-杨浦区,6-8千/月,,大专,上海,7000.0
2024,临床数据分析,http://jobs.51job.com/shenyang-hgq/84473480.html?s=01&t=0,沈阳恒希医疗科技有限公司,沈阳-皇姑区,4.5-6千/月,3-4年经验,,沈阳,5250.0
2025,商品数据分析员,http://jobs.51job.com/shenzhen/88283615.html?s=01&t=0,珂尼蒂思服饰（深圳）有限公司,深圳,6-8千/月,,,深圳,7000.0
2026,高级数据分析师,http://jobs.51job.com/nanjing/87447491.html?s=01&t=0,江苏康众汽配有限公司,南京,6-8千/月,,本科,南京,7000.0
2027,数据分析师,http://jobs.51job.com/hefei-ssq/90157933.html?s=01&t=0,北京瑞尼尔技术有限公司,合肥-蜀山区,6-8千/月,1年经验,本科,合肥,7000.0
2028,数据分析师,http://jobs.51job.com/shenzhen-ftq/86328359.html?s=01&t=0,花样年集团（中国）有限公司,深圳-福田区,30-40万/年,5-7年经验,本科,深圳,29167.0
2029,数据分析师,http://jobs.51job.com/chongqing/84545585.html?s=01&t=0,重庆智创企业管理咨询有限公司,重庆,0.3-1万/月,1年经验,大专,重庆,6500.0
2030,数据分析,http://jobs.51job.com/qingdao/87463672.html?s=01&t=0,青岛腾信汽车网络科技服务有限公司,青岛,4-6千/月,2年经验,本科,青岛,5000.0
2031,生产跟单文员（偏数据分析）,http://jobs.51job.com/guangzhou-byq/92024072.html?s=01&t=0,广州市稻草人皮具有限公司（电商）,广州-白云区,3-4.5千/月,,,广州,3750.0
2032,产品经理（大数据分析）,http://jobs.51job.com/shanghai-pdxq/75608719.html?s=01&t=0,万得信息技术股份有限公司（Wind资讯）,上海-浦东新区,,2年经验,本科,上海,
2033,数据分析专员,http://jobs.51job.com/shanghai/82066765.html?s=01&t=0,安吉租赁有限公司,上海,10-20万/年,1年经验,本科,上海,12500.0
2034,数据分析/数据分析师//销售数据分析/业务分析,http://jobs.51job.com/changsha-nxx/82531675.html?s=01&t=0,长沙艾森设备维护技术有限公司,长沙-宁乡县,0.5-1万/月,5-7年经验,本科,长沙,7500.0
2035,数据分析员,http://jobs.51job.com/shanghai-pdxq/89361890.html?s=01&t=0,上海幽然实业有限公司,上海-浦东新区,4.5-7千/月,,大专,上海,5750.0
2036,数据分析专员,http://jobs.51job.com/langfang/83978273.html?s=01&t=0,河北志晟信息技术股份有限公司,廊坊,3-6千/月,3-4年经验,本科,廊坊,4500.0
2037,数据分析专员,http://jobs.51job.com/changsha/86539452.html?s=01&t=0,克明面业股份有限公司,长沙,4.5-6千/月,3-4年经验,,长沙,5250.0
2038,数据分析专员/文员,http://jobs.51job.com/guangzhou-thq/76567306.html?s=01&t=0,广东秋鹿实业有限公司,广州-天河区,3-4千/月,无工作经验,大专,广州,3500.0
2039,4G网络数据分析实习生（大数据方向）,http://jobs.51job.com/beijing-hdq/92322627.html?s=01&t=0,北京优才众创管理咨询合伙企业（有限合伙）,北京-海淀区,3-5千/月,无工作经验,大专,北京,4000.0
2040,运营专员（数据分析）,http://jobs.51job.com/changsha/68947045.html?s=01&t=0,湖南高阳通联信息技术有限公司,长沙,4.5-6千/月,2年经验,本科,长沙,5250.0
2041,数据分析员,http://jobs.51job.com/shenzhen-baq/89367116.html?s=01&t=0,创颖峻贸易有限公司,深圳-宝安区,3-5千/月,,大专,深圳,4000.0
2042,数据分析与改善专员,http://jobs.51job.com/hangzhou-jgq/90483305.html?s=01&t=0,浙江心安食品有限公司,杭州-江干区,3-4.5千/月,2年经验,大专,杭州,3750.0
2043,环保数据分析员（环境事业部）,http://jobs.51job.com/hangzhou-bjq/86719292.html?s=01&t=0,聚光科技(杭州)股份有限公司,杭州-滨江区,3-4.5千/月,,大专,杭州,3750.0
2044,财务数据分析主管,http://jobs.51job.com/shanghai-hpq/91087101.html?s=01&t=0,上海金文食品有限公司,上海-黄浦区,6-8千/月,,,上海,7000.0
2045,教务数据分析师,http://jobs.51job.com/xiangyang/85077628.html?s=01&t=0,襄阳新东方培训学校,襄阳,3-4.5千/月,,,襄阳,3750.0
2046,数据分析工程师,http://jobs.51job.com/xiamen/88783414.html?s=01&t=0,四三九九网络股份有限公司,厦门,0.6-1.2万/月,,大专,厦门,9000.0
2047,数据分析专员,http://jobs.51job.com/ningbo/85371401.html?s=01&t=0,宁波中哲文墨品牌管理有限公司,宁波,3-5千/月,,大专,宁波,4000.0
2048,数据分析专员,http://jobs.51job.com/changsha-txq/89393444.html?s=01&t=0,锦江麦德龙现购自运有限公司长沙天心商场,长沙-天心区,3-4.5千/月,,,长沙,3750.0
2049,数据分析专员、程序开发专员,http://jobs.51job.com/guangzhou-lwq/73913643.html?s=01&t=0,广州医药有限公司,广州-荔湾区,10-15万/年,无工作经验,本科,广州,10417.0
2050,环境监测数据分析及仪器维护工程师,http://jobs.51job.com/yantai/87805212.html?s=01&t=0,山东忻博力盛环保科技有限公司,异地招聘,4-5千/月,,本科,异地招聘,4500.0
2051,数据分析岗,http://ebscn.51job.com/sc/show_job_detail.php?jobid=86503067,光大证券股份有限公司,上海-静安区,1-1.5万/月,,,上海,12500.0
2052,数据分析专员,http://jobs.51job.com/suzhou/82872705.html?s=01&t=0,上海智讯信息科技有限公司,苏州,4.5-6千/月,,,苏州,5250.0
2053,数据分析员,http://jobs.51job.com/guangzhou-hzq/78385621.html?s=01&t=0,广州市云格服饰有限公司,广州-海珠区,3.5-6千/月,1年经验,本科,广州,4750.0
2054,高级数据分析工程师,http://jobs.51job.com/shanghai-pdxq/76829478.html?s=01&t=0,乐鑫信息科技（上海）有限公司,上海-浦东新区,2-2.5万/月,,本科,上海,22500.0
2055,数据分析专员、产品专员,http://jobs.51job.com/yangzhou/76246828.html?s=01&t=0,江苏笛莎公主文化创意产业有限公司,扬州,3.5-5千/月,1年经验,本科,扬州,4250.0
2056,数据分析与挖掘（高级）工程师,http://jobs.51job.com/jinan-lxq/73595615.html?s=01&t=0,山东省互联网传媒集团股份有限公司,济南-历下区,0.8-1万/月,3-4年经验,,济南,9000.0
2057,数据分析工程师,http://jobs.51job.com/nanchang/69910620.html?s=01&t=0,英华达（南昌）科技有限公司,南昌,0.4-1万/月,2年经验,本科,南昌,7000.0
2058,数据分析师,http://jobs.51job.com/guangzhou-thq/57307562.html?s=01&t=0,广州威尔森信息科技有限公司,广州-天河区,4.5-8千/月,3-4年经验,本科,广州,6250.0
2059,数据分析师,http://jobs.51job.com/shanghai-hpq/88428171.html?s=01&t=0,上海鸿冠信息科技股份有限公司,上海-黄浦区,1-1.5万/月,2年经验,大专,上海,12500.0
2060,数据分析师,http://jobs.51job.com/hangzhou/91300269.html?s=01&t=0,杭州无一科技有限公司,杭州,0.5-1.5万/月,,本科,杭州,10000.0
2061,数据分析经理（海外菲律宾）,http://jobs.51job.com/shenzhen/92037102.html?s=01&t=0,深圳市第一企业管理咨询有限公司,异地招聘,2-2.5万/月,,,异地招聘,22500.0
2062,上市公司招聘数据分析师/学徒/双休,http://jobs.51job.com/hangzhou/90756919.html?s=01&t=0,厦门高净环保技术有限公司,杭州,3-4.5千/月,无工作经验,大专,杭州,3750.0
2063,4500零基础项目数据分析助理,http://jobs.51job.com/shenzhen-baq/91282696.html?s=01&t=0,深圳市宇昊企业管理有限公司,深圳-宝安区,6-8千/月,无工作经验,大专,深圳,7000.0
2064,给你一个平台-任你展翅高飞 外汇 数据分析师，交易员,http://jobs.51job.com/shenzhen-ftq/86268465.html?s=01&t=0,莱恩集团,深圳-福田区,0.8-1万/月,,大专,深圳,9000.0
2065,数据分析录入员（五险一金双休）,http://jobs.51job.com/chongqing-jlpq/84701332.html?s=01&t=0,杭州中跃教育科技有限公司,重庆-九龙坡区,3-4.5千/月,,,重庆,3750.0
2066,数据分析专员,http://jobs.51job.com/guangzhou-thq/91856279.html?s=01&t=0,广州秒乐网络科技有限公司,广州-天河区,4-5千/月,无工作经验,大专,广州,4500.0
2067,数据分析运营专员,http://jobs.51job.com/guangzhou-thq/91173694.html?s=01&t=0,瑞庭网络技术（上海）有限公司广州分公司-安居客,广州-天河区,6-8千/月,,本科,广州,7000.0
2068,产品专员（偏市场调研和数据分析）,http://jobs.51job.com/guangzhou/88117862.html?s=01&t=0,广东好太太科技集团股份有限公司,广州,5-7千/月,2年经验,大专,广州,6000.0
2069,电商数据分析专员,http://jobs.51job.com/shenzhen-nsq/92028330.html?s=01&t=0,华标实业（深圳）有限公司,深圳-南山区,6-8千/月,3-4年经验,大专,深圳,7000.0
2070,电商数据分析,http://jobs.51job.com/ningbo/91507295.html?s=01&t=0,宁波渠成集团有限公司,宁波,4-8千/月,,大专,宁波,6000.0
2071,数据分析师,http://jobs.51job.com/shenzhen-lhq/89592646.html?s=01&t=0,深圳市车网联盟科技有限公司,深圳-罗湖区,0.8-1万/月,3-4年经验,本科,深圳,9000.0
2072,网站数据分析专员,http://jobs.51job.com/nanjing-yhtq/91575661.html?s=01&t=0,南京卡佩希网络科技有限公司,南京-雨花台区,4-8千/月,,,南京,6000.0
2073,数据分析师（金融技术岗）,http://jobs.51job.com/wuxi-jys/90890177.html?s=01&t=0,江阴元坤教育咨询有限公司,异地招聘,6-8千/月,,大专,异地招聘,7000.0
2074,MG.诚聘交易员（不拉客户） 数据分析 金融交易员,http://jobs.51job.com/shenzhen-nsq/92052625.html?s=01&t=0,深圳市摩顿大投投资发展有限公司,深圳-南山区,6-8千/月,无工作经验,大专,深圳,7000.0
2075,销售数据分析专员/主管,http://jobs.51job.com/shanghai-hpq/90188064.html?s=01&t=0,巧儿宜（中国）有限公司,上海-黄浦区,0.8-1.5万/月,5-7年经验,本科,上海,11500.0
2076,数据分析主管,http://jobs.51job.com/changsha-frq/92409409.html?s=01&t=0,长沙链家立业房地产经纪有限公司西街花园分公司,长沙-芙蓉区,3-4.5千/月,2年经验,本科,长沙,3750.0
2077,数据分析员,http://jobs.51job.com/dongguan-stz/68888169.html?s=01&t=0,东莞沙田丽海纺织印染有限公司,东莞-沙田镇,3-4.5千/月,,大专,东莞,3750.0
2078,数据分析专员,http://jobs.51job.com/hefei-lyq/83934239.html?s=01&t=0,安徽网新科技有限公司,合肥-庐阳区,6-8万/年,1年经验,本科,合肥,5833.0
2079,Data QC Specialist 数据分析质控专员,http://jobs.51job.com/shanghai-pdxq/84753578.html?s=01&t=0,上海药明康德新药开发有限公司,上海-浦东新区,6-8千/月,3-4年经验,,上海,7000.0
2080,数据分析师,http://jobs.51job.com/wuhan/91222101.html?s=01&t=0,湖南华威金安企业管理有限公司武汉分公司,武汉,4.5-6千/月,1年经验,大专,武汉,5250.0
2081,大数据分析师,http://jobs.51job.com/shenzhen/86429767.html?s=01&t=0,深圳市前海硕极科技有限公司,深圳,1.5-2万/月,3-4年经验,,深圳,17500.0
2082,数据分析师/数据分析专员,http://jobs.51job.com/ningbo-yzq/80996926.html?s=01&t=0,宁波江东硕学教育培训学校,宁波-鄞州区,0.7-1.2万/月,无工作经验,本科,宁波,9500.0
