,职位名,链接,公司,工作地点,薪资,经验,学历,工作地点(城市),薪资(统一月薪元)
1202,数据分析师,http://jobs.51job.com/shanghai/91503633.html?s=01&t=0,亨得昂信息科技（上海）有限公司,上海,1-1.5万/月,,本科,上海,12500.0
1203,算法工程师 数据分析,http://jobs.51job.com/beijing-cyq/91746947.html?s=01&t=0,北京睿仁医疗科技有限公司,北京-朝阳区,0.8-1万/月,,本科,北京,9000.0
1204,数据分析专员,http://jobs.51job.com/guangzhou-thq/92269735.html?s=01&t=0,上海鲸团科技有限公司,广州-天河区,3.5-4千/月,无工作经验,大专,广州,3750.0
1205,业务数据分析岗,http://jobs.51job.com/chongqing/89561972.html?s=01&t=0,平安普惠企业管理有限公司重庆分公司,重庆,6-8千/月,,本科,重庆,7000.0
1206,金融外汇数据分析师(高级),http://jobs.51job.com/nanjing-jyq/91239407.html?s=01&t=0,南京恒至盈贸易有限公司,南京-建邺区,1-2万/月,3-4年经验,大专,南京,15000.0
1207,数据分析文员/销售行政文员,http://jobs.51job.com/shenzhen/89873570.html?s=01&t=0,广东高乐玩具股份有限公司深圳分公司,深圳,4.5-6千/月,3-4年经验,大专,深圳,5250.0
1208,数据分析（运营）,http://jobs.51job.com/shanghai-pdxq/89701584.html?s=01&t=0,上海广群互联网金融信息服务有限公司,上海-浦东新区,1-1.5万/月,,,上海,12500.0
1209,客服/销售数据分析,http://jobs.51job.com/shanghai-pdxq/88912396.html?s=01&t=0,登腾（上海）医疗器械有限公司,上海-浦东新区,4.5-6千/月,1年经验,大专,上海,5250.0
1210,数据分析师助理,http://jobs.51job.com/shanghai-hpq/92419595.html?s=01&t=0,北京新中商数据科技有限公司上海分公司,上海-黄浦区,4-5千/月,1年经验,大专,上海,4500.0
1211,数据分析,http://jobs.51job.com/guangzhou-byq/83922694.html?s=01&t=0,广州市拾肆商贸有限公司,广州-白云区,1-1.5万/月,,大专,广州,12500.0
1212,数据分析师,http://jobs.51job.com/shanghai-jdq/80231399.html?s=01&t=0,上海分尚网络科技有限公司,上海-嘉定区,0.5-1万/月,2年经验,大专,上海,7500.0
1213,数据分析师,http://jobs.51job.com/hangzhou-xsq/91405347.html?s=01&t=0,杭州法奈昇科技有限公司,杭州-萧山区,0.6-1.2万/月,3-4年经验,本科,杭州,9000.0
1214,数据分析师,http://jobs.51job.com/chengdu-qyq/83749836.html?s=01&t=0,成都轻松益家电子商务有限公司,成都-青羊区,6-8千/月,,本科,成都,7000.0
1215,高级数据分析师（数据挖掘方向）,http://jobs.51job.com/jinshuiqu/91548685.html?s=01&t=0,郑州珑凌科技有限公司,郑州-金水区,6-8千/月,,,郑州,7000.0
1216,高级数据分析师 （广州分公司）,http://jobs.51job.com/guangzhou-thq/87639374.html?s=01&t=0,北京新媒传信科技有限公司,广州-天河区,1-1.5万/月,3-4年经验,,广州,12500.0
1217,数据分析师,http://jobs.51job.com/shanghai-jaq/88482372.html?s=01&t=0,北京汇通天下物联科技有限公司,上海-静安区,0.8-1万/月,,本科,上海,9000.0
1218,数据分析算法工程师,http://jobs.51job.com/beijing-hdq/92436629.html?s=01&t=0,上海索辰信息科技有限公司,北京-海淀区,1-1.5万/月,,本科,北京,12500.0
1219,数据分析,http://jobs.51job.com/wenzhou/79815532.html?s=01&t=0,浙江巨圣鞋业有限公司,温州,3-4.5千/月,2年经验,大专,温州,3750.0
1220,数据分析师,http://jobs.51job.com/shanghai-zbq/91872539.html?s=01&t=0,易居（中国）控股有限公司,上海-闸北区,0.8-1万/月,1年经验,本科,上海,9000.0
1221,会员数据分析,http://jobs.51job.com/nanjing-yhtq/87385459.html?s=01&t=0,南京长江船服电子商务科技有限公司,南京-雨花台区,7-8千/月,,大专,南京,7500.0
1222,数据分析员,http://jobs.51job.com/guangzhou/76974596.html?s=01&t=0,天讯瑞达通信技术有限公司,广州,0.8-1万/月,5-7年经验,大专,广州,9000.0
1223,成本分析/数据分析,http://jobs.51job.com/shenzhen/87103908.html?s=01&t=0,美律电子（深圳）有限公司,深圳,4-6千/月,1年经验,大专,深圳,5000.0
1224,初级数据分析师,http://jobs.51job.com/shanghai/91116547.html?s=01&t=0,上海和付信息技术有限公司,上海,0.8-1.5万/月,,本科,上海,11500.0
1225,高级商业数据分析师,http://jobs.51job.com/shanghai-xhq/82604663.html?s=01&t=0,上海画龙信息科技有限公司,上海-徐汇区,1.5-2万/月,,,上海,17500.0
1226,数据分析师,http://jobs.51job.com/guangzhou-lwq/90098525.html?s=01&t=0,绿瘦国际集团（香港）公司,广州-荔湾区,4.5-6千/月,,本科,广州,5250.0
1227,数据分析讲师(***/全职),http://jobs.51job.com/shanghai/91704480.html?s=01&t=0,海文信息技术有限公司,异地招聘,1000元/天,,本科,异地招聘,21750.0
1228,数据分析员,http://jobs.51job.com/wenzhou/87652900.html?s=01&t=0,浙江大东鞋业有限公司,温州,4-8千/月,,本科,温州,6000.0
