职位名,链接,公司,工作地点,薪资,经验,学历
销售数据分析,http://jobs.51job.com/hangzhou-xhq/89263288.html?s=01&t=0,卓望信息技术（北京）有限公司,杭州-西湖区,0.6-1.2万/月,,
数据分析经理(002225),http://jobs.51job.com/nanjing/89230566.html?s=01&t=0,卓望数码技术（深圳）有限公司,南京,1-2万/月,5-7年经验,本科
数据分析师（用户运营方向）,http://jobs.51job.com/chongqing-yzq/88724718.html?s=01&t=0,重庆鸿巨网络科技有限公司,重庆-渝中区,6-8千/月,1年经验,本科
大数据分析师,http://jobs.51job.com/shenzhen/92345051.html?s=01&t=0,深圳中泓在线股份有限公司,深圳,1-1.5万/月,3-4年经验,本科
采购部实习生 - 数据分析,http://jobs.51job.com/chengdu-gxq/90468599.html?s=01&t=0,IBM China,成都-高新区,120元/天,无工作经验,
数据分析师,http://jobs.51job.com/wuhan-wcq/92433394.html?s=01&t=0,武汉夷微春秋文化传播有限公司,武汉-武昌区,4.5-6千/月,2年经验,本科
行业数据分析师,http://jobs.51job.com/beijing-tzq/92433358.html?s=01&t=0,国金黄金股份有限公司,北京-通州区,0.8-1.5万/月,5-7年经验,大专
数据分析师,http://jobs.51job.com/guangzhou-byq/92463634.html?s=01&t=0,广州潮洋皮具贸易有限公司,广州-白云区,4.5-6千/月,1年经验,大专
数据分析师,http://jobs.51job.com/shenzhen-nsq/92126173.html?s=01&t=0,意礴科技（深圳）有限公司,深圳-南山区,1-2万/月,1年经验,
数据分析专员（汕头）,http://jobs.51job.com/shantou/91194980.html?s=01&t=0,珠海旺店宝软件有限公司,汕头,3-4千/月,1年经验,中专
商品专员（数据分析）常熟,http://jobs.51job.com/changshu/78255025.html?s=01&t=0,苏州市乐铭贸易有限公司,常熟,3-4.5千/月,2年经验,
商品专员 数据分析员 产品专员 销售顾问 产品客服,http://jobs.51job.com/guangzhou-byq/87796039.html?s=01&t=0,广州认同女装,广州-白云区,4.5-6千/月,,大专
数据分析师/算法分析师,http://jobs.51job.com/beijing-cyq/91399661.html?s=01&t=0,北京蛙鸣华清环保科技有限公司,北京-朝阳区,0.8-1.5万/月,3-4年经验,
急招数据分析师（应届生也可以）,http://jobs.51job.com/guangzhou-thq/86909420.html?s=01&t=0,广州智棽科技服务有限公司,广州-天河区,6-8千/月,,大专
数据分析师（商场运营方向）,http://jobs.51job.com/guangzhou-byq/88042342.html?s=01&t=0,广东安华美博置业集团有限公司,广州-白云区,5.8-8千/月,5-7年经验,大专
商品数据分析,http://jobs.51job.com/guangzhou/92193706.html?s=01&t=0,广东美营服饰有限责任公司,广州,4.5-5.5千/月,,
数据分析师,http://jobs.51job.com/chengdu-gxq/83184942.html?s=01&t=0,成都厚立信息技术有限公司,成都-高新区,0.8-1万/月,3-4年经验,本科
招标数据分析,http://jobs.51job.com/xian-gxjs/91830041.html?s=01&t=0,西安力邦医药经销有限责任公司,西安-高新技术...,3-4.5千/月,2年经验,大专
数据分析,http://jobs.51job.com/chengdu-gxq/73171863.html?s=01&t=0,成都星购途信息技术有限公司,成都-高新区,0.5-1万/月,2年经验,大专
助理数据分析师,http://jobs.51job.com/shanghai-pdxq/87819463.html?s=01&t=0,成都正合联众网络科技有限公司,上海-浦东新区,4-8千/月,无工作经验,本科
数据分析师,http://jobs.51job.com/shanghai-hkq/92202217.html?s=01&t=0,上海冠优网络科技有限公司,上海-虹口区,6-8千/月,无工作经验,本科
商务助理（数据分析）,http://jobs.51job.com/guangzhou/91240067.html?s=01&t=0,中国邮电器材深圳公司,广州,4-6千/月,,大专
